name	display_name	description
smart_start	SMART start	
smart_end	SMART end	
superfamily	Superfamily ID	
superfamily_start	Superfamily start	
superfamily_end	Superfamily end	
tigrfam	TIGRFAM ID	
tigrfam_start	TIGRFAM start	
tigrfam_end	TIGRFAM end	
interpro	Interpro ID	InterPro Accession ID
interpro_short_description	Interpro Short Description	InterPro Short Description
interpro_description	Interpro Description	InterPro Description
interpro_start	Interpro start	
interpro_end	Interpro end	
alphafold_import	AFDB-ENSP mappings	
alphafold_import_start	AFDB-ENSP mappings start	
alphafold_import_end	AFDB-ENSP mappings end	
mobidblite	MobiDB lite	
mobidblite_start	MobiDB lite start	
mobidblite_end	MobiDB lite end	
ncoils	Coiled-coils (Ncoils)	
ncoils_start	Coiled-coils (Ncoils) start	
ncoils_end	Coiled-coils (Ncoils) end	
seg	Low complexity (Seg)	
seg_start	Low complexity (Seg) start	
seg_end	Low complexity (Seg) end	
sifts_import	PDB-ENSP mappings	
sifts_import_start	PDB-ENSP mappings start	
sifts_import_end	PDB-ENSP mappings end	
signalp	Cleavage site (Signalp)	
signalp_start	Cleavage site (Signalp) start	
signalp_end	Cleavage site (Signalp) end	
tmhmm	Transmembrane helices	
tmhmm_start	Transmembrane helices start	
tmhmm_end	Transmembrane helices end	
structure_gene_stable_id		
structure_gene_stable_id_version		
structure_gene_version		
structure_transcript_stable_id		
structure_transcript_stable_id_version		
structure_transcript_version		
structure_translation_stable_id		
structure_translation_stable_id_version		
structure_peptide_version		
structure_canonical_transcript_id		
structure_chrom_name		
structure_gene_chrom_start		
structure_gene_chrom_end		
structure_transcript_chrom_start		
structure_transcript_chrom_end		
structure_transcription_start_site		
structure_transcript_length		
structure_transcript_chrom_strand		
structure_external_gene_name		
structure_external_source_name		
structure_5_utr_start		
structure_5_utr_end		
structure_3_utr_start		
structure_3_utr_end		
structure_cds_length		
structure_cdna_length		
structure_peptide_length		
struct_transcript_count		
structure_translation_count		
structure_description		
structure_biotype		
structure_ensembl_exon_id		
exon_chrom_start	Exon region start (bp)	
exon_chrom_end	Exon region end (bp)	
is_constitutive	Constitutive exon	
rank	Exon rank in transcript	
phase	Start phase	
end_phase	End phase	
cdna_coding_start	CDS start (within cDNA)	
cdna_coding_end	CDS end (within cDNA)	
genomic_coding_start	Genomic coding start	
genomic_coding_end	Genomic coding end	
structure_cds_start		
structure_cds_end		
homologs_ensembl_gene_id		
homologs_gene_stable_id_version		
homologs_gene_version		
homologs_ensembl_transcript_id		
homologs_transcript_stable_id_version		
homologs_transcript_version		
homologs_ensembl_peptide_id		
homologs_translation_stable_id_version		
homologs_peptide_version		
homologs_canonical_transcript_id		
homologs_chromosome_name		
homologs_start_position		
homologs_end_position		
homologs_strand		
homologs_band		
homologs_external_gene_name		
homologs_external_gene_source		
homologs_ensembl_CDS_length		
homologs_ensembl_cDNA_length		
homologs_ensembl_peptide_length		
homologs_transcript_count		
homologs_percentage_gc_content		
homologs_description		
cabingdonii_homolog_ensembl_gene	Abingdon island giant tortoise gene stable ID	
cabingdonii_homolog_associated_gene_name	Abingdon island giant tortoise gene name	
cabingdonii_homolog_ensembl_peptide	Abingdon island giant tortoise protein or transcript stable ID	
cabingdonii_homolog_chromosome	Abingdon island giant tortoise chromosome/scaffold name	
cabingdonii_homolog_chrom_start	Abingdon island giant tortoise chromosome/scaffold start (bp)	
cabingdonii_homolog_chrom_end	Abingdon island giant tortoise chromosome/scaffold end (bp)	
cabingdonii_homolog_canonical_transcript_protein	Query protein or transcript ID	
cabingdonii_homolog_subtype	Last common ancestor with Abingdon island giant tortoise	
cabingdonii_homolog_orthology_type	Abingdon island giant tortoise homology type	
cabingdonii_homolog_perc_id	%id. target Abingdon island giant tortoise gene identical to query gene	
cabingdonii_homolog_perc_id_r1	%id. query gene identical to target Abingdon island giant tortoise gene	
cabingdonii_homolog_goc_score	Abingdon island giant tortoise Gene-order conservation score	
cabingdonii_homolog_wga_coverage	Abingdon island giant tortoise Whole-genome alignment coverage	
cabingdonii_homolog_orthology_confidence	Abingdon island giant tortoise orthology confidence [0 low, 1 high]	
scaustralis_homolog_ensembl_gene	African ostrich gene stable ID	
scaustralis_homolog_associated_gene_name	African ostrich gene name	
scaustralis_homolog_ensembl_peptide	African ostrich protein or transcript stable ID	
scaustralis_homolog_chromosome	African ostrich chromosome/scaffold name	
scaustralis_homolog_chrom_start	African ostrich chromosome/scaffold start (bp)	
scaustralis_homolog_chrom_end	African ostrich chromosome/scaffold end (bp)	
scaustralis_homolog_canonical_transcript_protein	Query protein or transcript ID	
scaustralis_homolog_subtype	Last common ancestor with African ostrich	
scaustralis_homolog_orthology_type	African ostrich homology type	
scaustralis_homolog_perc_id	%id. target African ostrich gene identical to query gene	
scaustralis_homolog_perc_id_r1	%id. query gene identical to target African ostrich gene	
scaustralis_homolog_goc_score	African ostrich Gene-order conservation score	
scaustralis_homolog_wga_coverage	African ostrich Whole-genome alignment coverage	
scaustralis_homolog_orthology_confidence	African ostrich orthology confidence [0 low, 1 high]	
mspretus_homolog_ensembl_gene	Algerian mouse gene stable ID	
mspretus_homolog_associated_gene_name	Algerian mouse gene name	
mspretus_homolog_ensembl_peptide	Algerian mouse protein or transcript stable ID	
mspretus_homolog_chromosome	Algerian mouse chromosome/scaffold name	
mspretus_homolog_chrom_start	Algerian mouse chromosome/scaffold start (bp)	
mspretus_homolog_chrom_end	Algerian mouse chromosome/scaffold end (bp)	
mspretus_homolog_canonical_transcript_protein	Query protein or transcript ID	
mspretus_homolog_subtype	Last common ancestor with Algerian mouse	
mspretus_homolog_orthology_type	Algerian mouse homology type	
mspretus_homolog_perc_id	%id. target Algerian mouse gene identical to query gene	
mspretus_homolog_perc_id_r1	%id. query gene identical to target Algerian mouse gene	
mspretus_homolog_goc_score	Algerian mouse Gene-order conservation score	
mspretus_homolog_wga_coverage	Algerian mouse Whole-genome alignment coverage	
mspretus_homolog_orthology_confidence	Algerian mouse orthology confidence [0 low, 1 high]	
vpacos_homolog_ensembl_gene	Alpaca gene stable ID	
vpacos_homolog_associated_gene_name	Alpaca gene name	
vpacos_homolog_ensembl_peptide	Alpaca protein or transcript stable ID	
vpacos_homolog_chromosome	Alpaca chromosome/scaffold name	
vpacos_homolog_chrom_start	Alpaca chromosome/scaffold start (bp)	
vpacos_homolog_chrom_end	Alpaca chromosome/scaffold end (bp)	
vpacos_homolog_canonical_transcript_protein	Query protein or transcript ID	
vpacos_homolog_subtype	Last common ancestor with Alpaca	
vpacos_homolog_orthology_type	Alpaca homology type	
vpacos_homolog_perc_id	%id. target Alpaca gene identical to query gene	
vpacos_homolog_perc_id_r1	%id. query gene identical to target Alpaca gene	
vpacos_homolog_goc_score	Alpaca Gene-order conservation score	
vpacos_homolog_wga_coverage	Alpaca Whole-genome alignment coverage	
vpacos_homolog_orthology_confidence	Alpaca orthology confidence [0 low, 1 high]	
mmmarmota_homolog_ensembl_gene	Alpine marmot gene stable ID	
mmmarmota_homolog_associated_gene_name	Alpine marmot gene name	
mmmarmota_homolog_ensembl_peptide	Alpine marmot protein or transcript stable ID	
mmmarmota_homolog_chromosome	Alpine marmot chromosome/scaffold name	
mmmarmota_homolog_chrom_start	Alpine marmot chromosome/scaffold start (bp)	
mmmarmota_homolog_chrom_end	Alpine marmot chromosome/scaffold end (bp)	
mmmarmota_homolog_canonical_transcript_protein	Query protein or transcript ID	
mmmarmota_homolog_subtype	Last common ancestor with Alpine marmot	
mmmarmota_homolog_orthology_type	Alpine marmot homology type	
mmmarmota_homolog_perc_id	%id. target Alpine marmot gene identical to query gene	
mmmarmota_homolog_perc_id_r1	%id. query gene identical to target Alpine marmot gene	
mmmarmota_homolog_goc_score	Alpine marmot Gene-order conservation score	
mmmarmota_homolog_wga_coverage	Alpine marmot Whole-genome alignment coverage	
mmmarmota_homolog_orthology_confidence	Alpine marmot orthology confidence [0 low, 1 high]	
pformosa_homolog_ensembl_gene	Amazon molly gene stable ID	
pformosa_homolog_associated_gene_name	Amazon molly gene name	
pformosa_homolog_ensembl_peptide	Amazon molly protein or transcript stable ID	
pformosa_homolog_chromosome	Amazon molly chromosome/scaffold name	
pformosa_homolog_chrom_start	Amazon molly chromosome/scaffold start (bp)	
pformosa_homolog_chrom_end	Amazon molly chromosome/scaffold end (bp)	
pformosa_homolog_canonical_transcript_protein	Query protein or transcript ID	
pformosa_homolog_subtype	Last common ancestor with Amazon molly	
pformosa_homolog_orthology_type	Amazon molly homology type	
pformosa_homolog_perc_id	%id. target Amazon molly gene identical to query gene	
pformosa_homolog_perc_id_r1	%id. query gene identical to target Amazon molly gene	
pformosa_homolog_goc_score	Amazon molly Gene-order conservation score	
pformosa_homolog_wga_coverage	Amazon molly Whole-genome alignment coverage	
pformosa_homolog_orthology_confidence	Amazon molly orthology confidence [0 low, 1 high]	
bbbison_homolog_ensembl_gene	American bison gene stable ID	
bbbison_homolog_associated_gene_name	American bison gene name	
bbbison_homolog_ensembl_peptide	American bison protein or transcript stable ID	
bbbison_homolog_chromosome	American bison chromosome/scaffold name	
bbbison_homolog_chrom_start	American bison chromosome/scaffold start (bp)	
bbbison_homolog_chrom_end	American bison chromosome/scaffold end (bp)	
bbbison_homolog_canonical_transcript_protein	Query protein or transcript ID	
bbbison_homolog_subtype	Last common ancestor with American bison	
bbbison_homolog_orthology_type	American bison homology type	
bbbison_homolog_perc_id	%id. target American bison gene identical to query gene	
bbbison_homolog_perc_id_r1	%id. query gene identical to target American bison gene	
bbbison_homolog_goc_score	American bison Gene-order conservation score	
bbbison_homolog_wga_coverage	American bison Whole-genome alignment coverage	
bbbison_homolog_orthology_confidence	American bison orthology confidence [0 low, 1 high]	
uamericanus_homolog_ensembl_gene	American black bear gene stable ID	
uamericanus_homolog_associated_gene_name	American black bear gene name	
uamericanus_homolog_ensembl_peptide	American black bear protein or transcript stable ID	
uamericanus_homolog_chromosome	American black bear chromosome/scaffold name	
uamericanus_homolog_chrom_start	American black bear chromosome/scaffold start (bp)	
uamericanus_homolog_chrom_end	American black bear chromosome/scaffold end (bp)	
uamericanus_homolog_canonical_transcript_protein	Query protein or transcript ID	
uamericanus_homolog_subtype	Last common ancestor with American black bear	
uamericanus_homolog_orthology_type	American black bear homology type	
uamericanus_homolog_perc_id	%id. target American black bear gene identical to query gene	
uamericanus_homolog_perc_id_r1	%id. query gene identical to target American black bear gene	
uamericanus_homolog_goc_score	American black bear Gene-order conservation score	
uamericanus_homolog_wga_coverage	American black bear Whole-genome alignment coverage	
uamericanus_homolog_orthology_confidence	American black bear orthology confidence [0 low, 1 high]	
nvison_homolog_ensembl_gene	American mink gene stable ID	
nvison_homolog_associated_gene_name	American mink gene name	
nvison_homolog_ensembl_peptide	American mink protein or transcript stable ID	
nvison_homolog_chromosome	American mink chromosome/scaffold name	
nvison_homolog_chrom_start	American mink chromosome/scaffold start (bp)	
nvison_homolog_chrom_end	American mink chromosome/scaffold end (bp)	
nvison_homolog_canonical_transcript_protein	Query protein or transcript ID	
nvison_homolog_subtype	Last common ancestor with American mink	
nvison_homolog_orthology_type	American mink homology type	
nvison_homolog_perc_id	%id. target American mink gene identical to query gene	
nvison_homolog_perc_id_r1	%id. query gene identical to target American mink gene	
nvison_homolog_goc_score	American mink Gene-order conservation score	
nvison_homolog_wga_coverage	American mink Whole-genome alignment coverage	
nvison_homolog_orthology_confidence	American mink orthology confidence [0 low, 1 high]	
cdromedarius_homolog_ensembl_gene	Arabian camel gene stable ID	
cdromedarius_homolog_associated_gene_name	Arabian camel gene name	
cdromedarius_homolog_ensembl_peptide	Arabian camel protein or transcript stable ID	
cdromedarius_homolog_chromosome	Arabian camel chromosome/scaffold name	
cdromedarius_homolog_chrom_start	Arabian camel chromosome/scaffold start (bp)	
cdromedarius_homolog_chrom_end	Arabian camel chromosome/scaffold end (bp)	
cdromedarius_homolog_canonical_transcript_protein	Query protein or transcript ID	
cdromedarius_homolog_subtype	Last common ancestor with Arabian camel	
cdromedarius_homolog_orthology_type	Arabian camel homology type	
cdromedarius_homolog_perc_id	%id. target Arabian camel gene identical to query gene	
cdromedarius_homolog_perc_id_r1	%id. query gene identical to target Arabian camel gene	
cdromedarius_homolog_goc_score	Arabian camel Gene-order conservation score	
cdromedarius_homolog_wga_coverage	Arabian camel Whole-genome alignment coverage	
cdromedarius_homolog_orthology_confidence	Arabian camel orthology confidence [0 low, 1 high]	
uparryii_homolog_ensembl_gene	Arctic ground squirrel gene stable ID	
uparryii_homolog_associated_gene_name	Arctic ground squirrel gene name	
uparryii_homolog_ensembl_peptide	Arctic ground squirrel protein or transcript stable ID	
uparryii_homolog_chromosome	Arctic ground squirrel chromosome/scaffold name	
uparryii_homolog_chrom_start	Arctic ground squirrel chromosome/scaffold start (bp)	
uparryii_homolog_chrom_end	Arctic ground squirrel chromosome/scaffold end (bp)	
uparryii_homolog_canonical_transcript_protein	Query protein or transcript ID	
uparryii_homolog_subtype	Last common ancestor with Arctic ground squirrel	
uparryii_homolog_orthology_type	Arctic ground squirrel homology type	
uparryii_homolog_perc_id	%id. target Arctic ground squirrel gene identical to query gene	
uparryii_homolog_perc_id_r1	%id. query gene identical to target Arctic ground squirrel gene	
uparryii_homolog_goc_score	Arctic ground squirrel Gene-order conservation score	
uparryii_homolog_wga_coverage	Arctic ground squirrel Whole-genome alignment coverage	
uparryii_homolog_orthology_confidence	Arctic ground squirrel orthology confidence [0 low, 1 high]	
smerianae_homolog_ensembl_gene	Argentine black and white tegu gene stable ID	
smerianae_homolog_associated_gene_name	Argentine black and white tegu gene name	
smerianae_homolog_ensembl_peptide	Argentine black and white tegu protein or transcript stable ID	
smerianae_homolog_chromosome	Argentine black and white tegu chromosome/scaffold name	
smerianae_homolog_chrom_start	Argentine black and white tegu chromosome/scaffold start (bp)	
smerianae_homolog_chrom_end	Argentine black and white tegu chromosome/scaffold end (bp)	
smerianae_homolog_canonical_transcript_protein	Query protein or transcript ID	
smerianae_homolog_subtype	Last common ancestor with Argentine black and white tegu	
smerianae_homolog_orthology_type	Argentine black and white tegu homology type	
smerianae_homolog_perc_id	%id. target Argentine black and white tegu gene identical to query gene	
smerianae_homolog_perc_id_r1	%id. query gene identical to target Argentine black and white tegu gene	
smerianae_homolog_goc_score	Argentine black and white tegu Gene-order conservation score	
smerianae_homolog_wga_coverage	Argentine black and white tegu Whole-genome alignment coverage	
smerianae_homolog_orthology_confidence	Argentine black and white tegu orthology confidence [0 low, 1 high]	
dnovemcinctus_homolog_ensembl_gene	Armadillo gene stable ID	
dnovemcinctus_homolog_associated_gene_name	Armadillo gene name	
dnovemcinctus_homolog_ensembl_peptide	Armadillo protein or transcript stable ID	
dnovemcinctus_homolog_chromosome	Armadillo chromosome/scaffold name	
dnovemcinctus_homolog_chrom_start	Armadillo chromosome/scaffold start (bp)	
dnovemcinctus_homolog_chrom_end	Armadillo chromosome/scaffold end (bp)	
dnovemcinctus_homolog_canonical_transcript_protein	Query protein or transcript ID	
dnovemcinctus_homolog_subtype	Last common ancestor with Armadillo	
dnovemcinctus_homolog_orthology_type	Armadillo homology type	
dnovemcinctus_homolog_perc_id	%id. target Armadillo gene identical to query gene	
dnovemcinctus_homolog_perc_id_r1	%id. query gene identical to target Armadillo gene	
dnovemcinctus_homolog_goc_score	Armadillo Gene-order conservation score	
dnovemcinctus_homolog_wga_coverage	Armadillo Whole-genome alignment coverage	
dnovemcinctus_homolog_orthology_confidence	Armadillo orthology confidence [0 low, 1 high]	
sformosus_homolog_ensembl_gene	Asian bonytongue gene stable ID	
sformosus_homolog_associated_gene_name	Asian bonytongue gene name	
sformosus_homolog_ensembl_peptide	Asian bonytongue protein or transcript stable ID	
sformosus_homolog_chromosome	Asian bonytongue chromosome/scaffold name	
sformosus_homolog_chrom_start	Asian bonytongue chromosome/scaffold start (bp)	
sformosus_homolog_chrom_end	Asian bonytongue chromosome/scaffold end (bp)	
sformosus_homolog_canonical_transcript_protein	Query protein or transcript ID	
sformosus_homolog_subtype	Last common ancestor with Asian bonytongue	
sformosus_homolog_orthology_type	Asian bonytongue homology type	
sformosus_homolog_perc_id	%id. target Asian bonytongue gene identical to query gene	
sformosus_homolog_perc_id_r1	%id. query gene identical to target Asian bonytongue gene	
sformosus_homolog_goc_score	Asian bonytongue Gene-order conservation score	
sformosus_homolog_wga_coverage	Asian bonytongue Whole-genome alignment coverage	
sformosus_homolog_orthology_confidence	Asian bonytongue orthology confidence [0 low, 1 high]	
gmorhua_homolog_ensembl_gene	Atlantic cod gene stable ID	
gmorhua_homolog_associated_gene_name	Atlantic cod gene name	
gmorhua_homolog_ensembl_peptide	Atlantic cod protein or transcript stable ID	
gmorhua_homolog_chromosome	Atlantic cod chromosome/scaffold name	
gmorhua_homolog_chrom_start	Atlantic cod chromosome/scaffold start (bp)	
gmorhua_homolog_chrom_end	Atlantic cod chromosome/scaffold end (bp)	
gmorhua_homolog_canonical_transcript_protein	Query protein or transcript ID	
gmorhua_homolog_subtype	Last common ancestor with Atlantic cod	
gmorhua_homolog_orthology_type	Atlantic cod homology type	
gmorhua_homolog_perc_id	%id. target Atlantic cod gene identical to query gene	
gmorhua_homolog_perc_id_r1	%id. query gene identical to target Atlantic cod gene	
gmorhua_homolog_goc_score	Atlantic cod Gene-order conservation score	
gmorhua_homolog_orthology_confidence	Atlantic cod orthology confidence [0 low, 1 high]	
charengus_homolog_ensembl_gene	Atlantic herring gene stable ID	
charengus_homolog_associated_gene_name	Atlantic herring gene name	
charengus_homolog_ensembl_peptide	Atlantic herring protein or transcript stable ID	
charengus_homolog_chromosome	Atlantic herring chromosome/scaffold name	
charengus_homolog_chrom_start	Atlantic herring chromosome/scaffold start (bp)	
charengus_homolog_chrom_end	Atlantic herring chromosome/scaffold end (bp)	
charengus_homolog_canonical_transcript_protein	Query protein or transcript ID	
charengus_homolog_subtype	Last common ancestor with Atlantic herring	
charengus_homolog_orthology_type	Atlantic herring homology type	
charengus_homolog_perc_id	%id. target Atlantic herring gene identical to query gene	
charengus_homolog_perc_id_r1	%id. query gene identical to target Atlantic herring gene	
charengus_homolog_goc_score	Atlantic herring Gene-order conservation score	
charengus_homolog_wga_coverage	Atlantic herring Whole-genome alignment coverage	
charengus_homolog_orthology_confidence	Atlantic herring orthology confidence [0 low, 1 high]	
ssalar_homolog_ensembl_gene	Atlantic salmon gene stable ID	
ssalar_homolog_associated_gene_name	Atlantic salmon gene name	
ssalar_homolog_ensembl_peptide	Atlantic salmon protein or transcript stable ID	
ssalar_homolog_chromosome	Atlantic salmon chromosome/scaffold name	
ssalar_homolog_chrom_start	Atlantic salmon chromosome/scaffold start (bp)	
ssalar_homolog_chrom_end	Atlantic salmon chromosome/scaffold end (bp)	
ssalar_homolog_canonical_transcript_protein	Query protein or transcript ID	
ssalar_homolog_subtype	Last common ancestor with Atlantic salmon	
ssalar_homolog_orthology_type	Atlantic salmon homology type	
ssalar_homolog_perc_id	%id. target Atlantic salmon gene identical to query gene	
ssalar_homolog_perc_id_r1	%id. query gene identical to target Atlantic salmon gene	
ssalar_homolog_goc_score	Atlantic salmon Gene-order conservation score	
ssalar_homolog_orthology_confidence	Atlantic salmon orthology confidence [0 low, 1 high]	
cporosus_homolog_ensembl_gene	Australian saltwater crocodile gene stable ID	
cporosus_homolog_associated_gene_name	Australian saltwater crocodile gene name	
cporosus_homolog_ensembl_peptide	Australian saltwater crocodile protein or transcript stable ID	
cporosus_homolog_chromosome	Australian saltwater crocodile chromosome/scaffold name	
cporosus_homolog_chrom_start	Australian saltwater crocodile chromosome/scaffold start (bp)	
cporosus_homolog_chrom_end	Australian saltwater crocodile chromosome/scaffold end (bp)	
cporosus_homolog_canonical_transcript_protein	Query protein or transcript ID	
cporosus_homolog_subtype	Last common ancestor with Australian saltwater crocodile	
cporosus_homolog_orthology_type	Australian saltwater crocodile homology type	
cporosus_homolog_perc_id	%id. target Australian saltwater crocodile gene identical to query gene	
cporosus_homolog_perc_id_r1	%id. query gene identical to target Australian saltwater crocodile gene	
cporosus_homolog_goc_score	Australian saltwater crocodile Gene-order conservation score	
cporosus_homolog_wga_coverage	Australian saltwater crocodile Whole-genome alignment coverage	
cporosus_homolog_orthology_confidence	Australian saltwater crocodile orthology confidence [0 low, 1 high]	
lbergylta_homolog_ensembl_gene	Ballan wrasse gene stable ID	
lbergylta_homolog_associated_gene_name	Ballan wrasse gene name	
lbergylta_homolog_ensembl_peptide	Ballan wrasse protein or transcript stable ID	
